DRILLHOLE_NO,DH_NAME,DH_OTHER_NAME,lon_dd,lat_dd,max_depth_m,drill_date,TARGET_COMMODITIES,MINERAL_CLASS,PETROLEUM_CLASS,STRATIGRAPHIC_CLASS,WATER_WELL_CLASS,STRAT_LOG,LITHO_LOG,PETROPHYSICAL_LOG,CORE_LIBRARY,OPERATOR_NAME,TENEMENT,MAP_250000,dist_od_km,in_regional_window,strat_units_top_to_base,gis_codes_top_to_base,deepest_logged_base_m,oldest_age_rank,oldest_age_class,depth_top_pre_adelaidean_m,depth_top_crystalline_basement_m,first_pre_adelaidean_unit,first_crystalline_basement_unit,reached_pre_adelaidean,reached_crystalline_basement,pandurra_logged,hole_type,cutoff_t0,buffer_deg
9449,LINE 35E 03,,135.1914129,-31.2301713,6.1,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Chitanilga Volcanic Complex unit 2,IH > M-tai---02,6.1,3.0,Mesoproterozoic,1.44,1.44,Chitanilga Volcanic Complex unit 2,Chitanilga Volcanic Complex unit 2,True,True,False,mineral,1975-05-02,2.0
9453,LINE 30E 17,,135.1893069,-31.2265623,6.1,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Glenloth Granite,IH > AYm--g,6.1,5.0,Archaean,1.44,1.44,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9452,LINE 30E 20,,135.1893069,-31.2265623,3.66,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Glenloth Granite,IH > AYm--g,3.66,5.0,Archaean,1.92,1.92,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9454,LINE 30E 15,,135.1893069,-31.2265623,6.1,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Glenloth Granite,IH > AYm--g,6.1,5.0,Archaean,1.44,1.44,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9451,LINE 35E 07.5,,135.1914129,-31.2301713,6.1,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Glenloth Granite,IH > AYm--g,6.1,5.0,Archaean,3.48,3.48,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9448,LINE 35E 06,,135.1914129,-31.2301713,12.19,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Glenloth Granite,IH > AYm--g,12.19,5.0,Archaean,5.04,5.04,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
147521,PACMINEX EX 151,,137.1264376,-32.0841974,22.0,1974-07-15,"Base Metals, Copper",Y,N,N,N,Y,N,N,N,Mount Gunson Mines Pty Ltd.,EL 50,SI5304 PORT AUGUSTA,184.1,False,Quaternary rocks > Umberatana Group unit 2 > Pandurra Formation,IH > N-hu----02 > M----p,22.0,3.0,Mesoproterozoic,21.75,,Pandurra Formation,,True,False,True,mineral,1975-05-02,2.0
136436,MT. MITCHELL 2,,135.108531,-31.0785903,4.57,1966-01-01,Gold,Y,N,N,N,Y,N,N,N,Australian Development Ltd.,SML 83,SH5315 GAIRDNER,184.1,False,Glenloth Granite,AYm--g,4.54,5.0,Archaean,0.0,0.0,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
9450,LINE 35E 04.5,,135.1914129,-31.2301713,9.14,1969-10-23,"Copper, Nickel",Y,N,N,N,Y,N,N,N,Asarco (Australia) Pty Ltd.,SML 307,SH5315 GAIRDNER,184.1,False,Quaternary rocks > Chitanilga Volcanic Complex unit 2,IH > M-tai---02,9.14,3.0,Mesoproterozoic,2.4,2.4,Chitanilga Volcanic Complex unit 2,Chitanilga Volcanic Complex unit 2,True,True,False,mineral,1975-05-02,2.0
136437,MT. MITCHELL 3,,135.108248,-31.0787793,15.24,1966-01-01,Gold,Y,N,N,N,Y,N,N,N,Australian Development Ltd.,SML 83,SH5315 GAIRDNER,184.2,False,Glenloth Granite,AYm--g,15.21,5.0,Archaean,0.0,0.0,Glenloth Granite,Glenloth Granite,True,True,False,mineral,1975-05-02,2.0
