hole,sheet_page,depth_m,reading,susceptibility_cgs_e6,sg,remark
RD6,356,103.0,216.1,133.2,2.61,216.1 wt in air
RD6,356,108.0,229.8,140.8,2.58,
RD6,356,114.0,199.5,121.8,2.57,
RD6,356,118.6,313.5,193.2,2.61,
RD6,356,126.5,209.9,130.1,2.63,
RD6,356,131.93,329.6,203.3,2.61,
RD6,356,139.43,231.0,142.3,2.6,
RD6,356,144.1,341.1,210.8,2.62,
RD6,356,151.88,331.7,204.6,2.61,
RD6,356,156.14,231.2,142.4,2.6,
RD6,356,163.54,268.8,163.8,2.56,
RD6,356,171.14,234.1,144.3,2.61,
RD6,356,177.44,222.6,135.9,2.57,S.D. 0.02
RD6,356,181.0,200.6,122.9,2.58,av 2.59
RD6,356,185.18,383.7,231.9,2.53,
RD6,356,194.0,403.2,237.7,2.44,
RD6,356,199.0,192.8,114.3,2.46,
RD6,356,203.06,314.5,176.1,2.27,av 2.39 noted
RD6,356,211.5,326.4,199.2,2.57,
RD6,356,217.5,265.8,157.0,2.44,
RD6,356,220.38,210.8,131.5,2.66,
RD6,356,228.0,203.7,127.7,2.68,
RD6,356,233.34,193.7,121.9,2.7,
RD6,356,237.73,320.1,199.0,2.64,
RD6,356,246.67,213.0,134.8,2.71,
RD6,356,251.81,260.4,163.7,2.69,
RD6,356,256.3,175.3,110.8,2.72,
RD6,356,264.0,318.7,200.9,2.71,
RD6,356,268.0,232.4,146.9,2.72,
RD6,356,275.5,212.9,134.7,2.72,
RD6,356,282.0,248.7,158.0,2.74,
RD6,356,286.8,288.2,145.0,2.61,S.G. digit unclear (2.01 as written?) [CHECK]
RD6,356,292.0,114.5,73.0,2.76,114.5 wt in air
RD6,356,297.0,225.4,143.5,2.75,
RD6,356,307.0,220.1,139.4,2.73,
RD6,356,309.5,173.7,108.9,2.68,
RD6,356,316.5,147.7,93.9,2.75,
RD6,357,326.0,532.2,346.8,2.87,
RD6,357,330.0,345.9,230.2,2.99,
RD6,357,336.0,331.1,218.5,2.94,
RD6,357,340.0,420.6,291.0,3.25,
RD6,357,348.2,427.7,291.4,3.14,
RD6,357,353.0,249.3,169.1,3.11,
RD6,357,357.9,373.0,247.7,2.98,
RD6,357,364.0,250.4,176.0,3.37,
RD6,357,370.0,273.9,191.4,3.32,
RD6,357,377.9,228.5,158.5,3.26,
RD6,357,382.9,464.1,319.4,3.21,
RD6,357,389.1,519.3,376.2,3.63,
RD6,357,394.0,242.3,167.8,3.25,
RD6,357,402.9,356.1,247.6,3.28,
RD6,357,408.5,231.4,159.8,3.23,
RD6,357,413.03,223.5,159.1,3.47,
RD6,357,417.48,231.0,161.7,3.33,
RD6,357,426.4,264.4,185.0,3.33,
RD6,357,431.94,360.0,251.7,3.32,
RD6,357,435.32,457.7,332.0,3.64,
RD6,357,440.2,544.6,369.2,3.1,
RD6,357,448.1,347.3,253.9,3.72,
RD6,357,452.33,378.2,282.4,3.95,
RD6,357,459.4,316.1,233.9,3.85,
RD6,357,464.7,346.3,263.6,4.19,
RD6,357,469.65,434.0,323.6,3.93,
RD6,357,476.8,587.5,403.7,4.02,
RD6,357,482.3,417.7,320.7,4.31,
RD6,357,486.12,313.0,234.9,4.01,
