field,statistic,observed,sim_p05,sim_median,sim_p95,sim_min,sim_max,quantile,status
gravity,n_per_1e4km2,4.1007135241532024,0.8201427048306406,3.2805708193225622,5.740998933814484,0.8201427048306406,7.381284343475764,0.8025,PASS
gravity,amp_median,8.042682360969648,3.7082794719906693,14.872619960147613,28.622502117052633,2.5088170832641916,37.2666897238683,0.23,PASS
gravity,amp_p90,20.374279047868463,10.841845797189647,21.449443468770145,36.55815450530238,9.62344461359856,40.60721388026759,0.45,PASS
gravity,width_median_km,13.493452297211721,6.256103218186087,30.752681527609134,82.12321000227853,2.256758334191025,88.84149896199003,0.19,PASS
gravity,residual_sd,6.485434048534696,4.93373448173341,9.330657404326482,14.875525849854634,4.217437669905984,16.507319553133573,0.18,PASS
magnetics,n_per_1e4km2,9.351912466099318,12.157486205929112,18.703824932198636,26.232114467408568,8.416721219489386,33.66688487795754,0.005,WARN
magnetics,amp_median,398.08027427149455,183.54974199903,436.3852439519475,1244.3784095777773,106.01062041505477,2885.1472250095476,0.415,PASS
magnetics,amp_p90,3127.720952806821,1223.3012929406864,2762.9793055184673,3712.7087344340134,482.4402896037038,4119.853507406832,0.67,PASS
magnetics,width_median_km,7.297791835763164,4.222008245644752,5.785256753847076,8.10250673490728,3.088474451966192,9.901487006738307,0.88,PASS
magnetics,residual_sd,475.5033740302866,425.21880960055745,705.5422247037684,956.7222194650013,310.8335047603591,1066.8921502188102,0.11,PASS
