seed,L1-1 cover_total_m,L1-2 corr_length_km,L1-3 relief_m,L2-1 intensity_per_1e4km2,L2-3 basalt_multiplier,L3-1 p_reduced,L3-2 belt_length_km,L4-1 reach_d_km,L4-2 p_ore,L4-3 ore_multiplier,L5-2 rho_quartzite,L5-2 rho_shale,L5-2 rho_limestone,L5-2 rho_pandurra,L5-2 k_cover,L5-2 res_cover,L5-4 basement_sd,L5-4 basement_logk_sd,n_basalt,basalt_frac,reduced_frac,n_iron,basement_sd_realized,basement_logk_sd_realized,zone_km2,n_ore,Mt_total,contrast,g_n_per_1e4km2,g_amp_median,g_amp_p90,g_width_median_km,g_residual_sd,m_n_per_1e4km2,m_amp_median,m_amp_p90,m_width_median_km,m_residual_sd
1000,502.4850082912719,26.428185010195232,70.64126959833808,3.6259835403574305,9.988903435540895,0.0977590700201972,47.19686836519294,11.30522328287391,0.23343466195011567,4.454888302833554,2.6805372220905923,2.2241863316030694,2.2949287060407704,2.368559665636132,46.77320890213518,6.936629362653407,0.09341754135425707,0.6264919709466584,4,0.004424778761061947,0.09778761061946903,1,0.08971590220102704,0.607720932915498,171.0,9,1017.0291138054031,0.4467629201673451,2.4604281144919216,14.917611495332727,34.36307348511035,19.015783725757565,14.088804110105137,21.509398672028432,309.6421487393015,2956.113694220933,5.046265044040321,668.9553287501972
1001,534.4082249994829,10.255908937059518,28.15343653228945,8.863120516329,2.295376782552842,0.10027256111135603,82.70713042732014,1.4784320028146147,0.12957314517267793,1.720980029650836,2.6131928388017993,2.592058489799478,2.5825766055904698,2.4373488976950743,30.947173077102423,4.29781982224413,0.09713002585825313,0.8060231133210022,10,0.03377581120943953,0.10029498525073746,1,0.08919769468840393,0.7527702570394392,15.0,0,0.0,0.3567847800101531,4.1007135241532024,32.03328798997183,37.35202299490537,28.635053113438516,14.383058604797029,22.444589918638364,484.4668167675357,3215.470590371306,5.56138641189341,807.560038741623
1002,453.28740581909057,17.76906732679669,112.14184756022867,5.115935352839292,6.731230175592124,0.18872363238240603,40.54910769267358,1.7947856855531796,0.30849095439210017,2.610800229861213,2.6928851452998264,2.2739566008533574,2.3829768697362606,2.3663845823311385,19.190070068108398,1.2479939941686924,0.04936892772248478,0.8024401415380862,3,0.032964601769911506,0.18871681415929203,0,0.05020701967211491,0.7643889340671522,49.0,5,389.7829084246907,0.44811886378066834,3.2805708193225622,8.53764224746913,14.742050612323222,25.11054987632218,5.774286285489648,15.898251192368841,1844.0027785610607,3930.802598500715,7.136496464611085,964.1965309301602
1003,385.7150788940217,15.115748635330883,74.2018990783277,7.286332459873482,13.785918648493306,0.23077446703491922,51.88916063245023,8.963108827472343,0.34235004925313883,3.8268165618668357,2.6217034735465674,2.17035015469755,2.553598747813632,2.5255512691959296,24.52029656403858,2.2094375690458445,0.05304257259015699,0.9629186848666758,16,0.04063421828908555,0.2308259587020649,1,0.05312266253263802,0.8943803117948049,1278.0,92,5145.250255011909,0.33789517292841964,2.4604281144919216,12.659664013847603,15.491304678476334,19.21560480373171,8.19208370478059,21.509398672028432,805.3891309184881,3595.482802532663,6.6755811781245455,906.6329411916525
1004,320.30815845925025,12.330249461962088,20.7716047947887,5.0452370955779,11.55145468258579,0.2592731919789963,36.71441699137599,8.407150011576633,0.16130488948512953,4.299947979321587,2.6641750237551616,2.207354323114944,2.220252898972055,2.4225123113527016,92.31662766297741,218.13628293449983,0.08043649368741745,0.8143267648373009,8,0.019321533923303835,0.2592920353982301,2,0.07805250602957736,0.7677055246323915,566.0,24,838.8268968825996,0.39536547480418927,0.8201427048306406,23.754688337857843,23.754688337857843,87.8398067000098,11.075426499770593,19.639016178808568,1377.8883758159247,3359.282214465017,6.6755811781245455,725.8454755512902
1005,348.7767105737628,44.71311789977599,43.09260425516557,7.108464388963989,15.19147631724947,0.2941805008632601,38.95098516782217,7.452069821680674,0.27637505510040655,2.360014759599683,2.694459202800036,2.1852937596144937,2.5338943527222897,2.352404835943803,27.993856735469905,726.8983127055619,0.03744310935413081,0.9009301343035042,7,0.02566371681415929,0.2941740412979351,4,0.03675453387144526,0.8196872500313753,670.0,38,1467.1691280230777,0.45453373710109535,5.740998933814484,4.4725865368537905,11.936272661069896,10.998079684646791,5.336718647452824,24.314972411858225,798.9491847182317,3863.6538585414532,6.908500321259502,945.486809571808
1006,437.92250175048855,26.301528051002208,44.67469491137633,3.900579557564585,14.596087554817569,0.13376128879882887,57.64274874809825,5.346535232562648,0.26546202536758556,2.9557825168440908,2.686291143099387,2.485932752873002,2.241509676643214,2.499502755879019,62.364703481270915,1.147872961862391,0.09792476513485453,0.8038043560986847,6,0.036799410029498526,0.13377581120943952,1,0.09684742630508177,0.786360304655995,65.0,4,421.52019761546416,0.32793807877593295,4.920856228983843,16.278015540489054,38.48813177387207,26.67823738692968,14.903884400091842,23.379781165248293,381.361149130472,1684.111118814284,6.955796338302048,624.3877290745821
1007,344.92872811131,37.1831163362743,96.4392769377986,3.5727619586211876,11.009919489783389,0.27383428790458164,62.01305718175481,2.96427860399994,0.18307748862413803,1.1718359917309167,2.681644353901304,2.342438004222668,2.6044872785229507,2.4629636300708846,93.88424276124962,314.7699846555175,0.08590770697303857,0.8014657619637511,4,0.016592920353982302,0.27382005899705014,0,0.08799867757719937,0.7738102817155497,85.0,1,12.622702118762694,0.39903342808647935,4.1007135241532024,15.04404514994053,37.420045833637886,22.65205369339104,15.948744470025165,16.83344243897877,1396.7624376293843,3641.8919392708303,8.40546773954594,924.6646378926722
1008,378.53846216911654,37.008210414487685,32.614924382136266,9.870155636390885,17.714200660434525,0.26106892208372945,57.00617995292947,0.3410493045229268,0.1600470930510191,2.4906765366217143,2.6188970406500296,2.1998439678000814,2.4097585077735526,2.3477067024109446,28.288718792059477,451.9117905403451,0.09427155838817075,0.6289658311998474,13,0.052949852507374634,0.2610619469026549,4,0.09425673964337974,0.6170318417317542,0.0,0,0.0,0.43649826211215803,3.2805708193225622,29.135721166073658,38.81551072966091,31.954899141761622,16.507319553133573,22.444589918638364,325.4617242297959,3773.3898995098816,4.652426491681278,700.6905546250312
1009,339.77516171870377,16.924045713522183,7.477719310979736,4.250611347410606,15.039379832116124,0.20224437075728163,74.15982861417262,7.46949325393358,0.09732126470721687,1.6090480395956686,2.693196196568441,2.128542523958244,2.5779927641296436,2.419915772556457,18.979604687716943,78.42177276415832,0.09136834683369036,0.6601749939083872,4,0.019616519174041298,0.20228613569321535,5,0.0816046188686202,0.6350829001907075,305.0,4,26.497637656756563,0.3959962974714206,1.6402854096612811,28.02048489359224,29.26263684658446,61.19883086483725,14.317586554020581,30.861311138127746,183.24550961915864,2073.202997967413,3.9088200952233594,568.3138644019474
