level,piece,record,title,catalogue_date,catalogue_url,source_url,local_path,bytes,expected_bytes,sha256,retrieved,status
level2,roopena_mapping,rb6700081,RB 67/00081 Geophysical report no. 1 on a gravity and magnetic survey of the Roopena Volcanics; Risely,1 Nov 1968 (title page),https://catalog.sarig.sa.gov.au/dataset/rb6700081,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352688/RB6700081.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6700081\RB6700081.pdf,1928832,1928832,524f5fd8ca73957e98835fa5ba9e03035b10ded509a64e4c789ef0d87e1a5e43,2026-09-21 15:48:53,already on disk
level2,roopena_mapping,mesac3667,"Summary report on the Roopena area, SML 204 (BHP; Jones; Env 01174 pp. 229-284)","July 1970 (title page, PDF p. 229); envelope cover dated 8/11/1977 = open-file release, after t0",https://catalog.sarig.sa.gov.au/dataset/mesac3667,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942689/ENV01174.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac3667\ENV01174.pdf,32107669,32107669,2144a274c134cb83a5bdc9a538569eb9e301a5ca9905d0675cd07cf55ab0f046,2026-09-21 15:48:53,already on disk
level2,roopena_mapping,2018d048833,"PORT AUGUSTA SI 53-04 1:250,000 geological map",1968,https://catalog.sarig.sa.gov.au/dataset/2018d048833,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/3983148/Port%20Augusta%20250K%20Sheet%20SI%2053-04%20Geological%20map%28rev%201%29.PDF,01_data\wp1_data\database\reports\annexA_sources\2018d048833\Port Augusta 250K Sheet SI 53-04 Geological map(rev 1).PDF,8283934,8283934,bf8a84b37eedd5bf5b6273372c1a2346fd2f126f4c85e23a38a35d217c508d64,2026-09-21 15:48:53,already on disk
level3,bore_facies_descriptions,mesac31461,Mount Gunson. Progress reports for the period from 7/12/1972 to 6/12/1973 (Env 02187),1972-1973 (title),https://catalog.sarig.sa.gov.au/dataset/mesac31461,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942275/ENV02187.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31461\ENV02187.pdf,331717143,331717143,f8865fe1f13771a47355248c98802bfa2c015dc1ba8801a1684b25d5976b91b2,2026-09-21 15:48:53,already on disk
level3,bore_facies_descriptions,mesac31894,"Petrography of the pre-Tent Hill Formation interval cored in DDH PL32, Mount Gunson; with LY2 Pandurra petrography, mesac31892 (Env 03026)",undated in harvest; date from catalogue query,https://catalog.sarig.sa.gov.au/dataset/mesac31894,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5933955/ENV03026.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31894\ENV03026.pdf,143054453,143054453,c31e9d25b60bfa39b67c712548d64926c76c0119532d22266847a30908da39d6,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,rb6500068,RB 65/00068 Pandurra copper prospect preliminary report,1969,https://catalog.sarig.sa.gov.au/dataset/rb6500068,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352382/RB6500068.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6500068\RB6500068.pdf,1817419,,4bcd1c335df9ffc331a0cf02074a8bbae2a1107b8a7f56a9964ef76c2b6e45e4,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,rb6000004,RB 60/00004 Source and distribution of heavy metals in Cambrian and Marinoan shelf sediments in South Australia,6 Jan 1965,https://catalog.sarig.sa.gov.au/dataset/rb6000004,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4351603/RB6000004.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6000004\RB6000004.pdf,994888,,7452eb79fc67f0cc0ec8258383012a6067c1910477437191af48ff5acf6a80e1,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,2019d016314,"RB 18/00119 General geological report on the Mount Gunson, Pernatty Lagoon district and mineral deposits",23 May 1941,https://catalog.sarig.sa.gov.au/dataset/2019d016314,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4079515/RB%2018%2000119%20General%20geological%20report%20on%20the%20Mount%20Gunson%2C%20Pernatty%20Lagoon%20district%20and%20mineral%20deposits.PDF,"01_data\wp1_data\database\reports\annexA_sources\2019d016314\RB 18 00119 General geological report on the Mount Gunson, Pernatty Lagoon district and mineral deposits.PDF",1266132,,a385282800fec874ce265573599082a51b10987e40907344ee21e193e156b172,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,mesac31820,"Geology of the Pernatty Lagoon area, SA (Env 00674 pp. 75-94)",1966,https://catalog.sarig.sa.gov.au/dataset/mesac31820,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5935469/ENV00674.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31820\ENV00674.pdf,30808224,,560cf5f28f13670f5858d13852af51fdf2fdd2729668479649d7a803a4e493d3,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,mesac31698,"Mount Gunson drilling summaries, 3-1-X to 3-14-X series (Env 06669)",1974,https://catalog.sarig.sa.gov.au/dataset/mesac31698,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5937211/ENV06669.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31698\ENV06669.pdf,24005958,,d18e4562245a26a2f218f9ac2f70dadf20cdf9e7cce3c03ef2446ae0de4de6cb,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,mesac31602,"Mount Gunson drill logs, Pernatty Lagoon (Env 06624)",1972,https://catalog.sarig.sa.gov.au/dataset/mesac31602,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5933837/ENV06624.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31602\ENV06624.pdf,10249998,,eeedebb36c2914ce500b21e98345a006e781cc47ba1b9ed9b917c99441670007,2026-09-21 15:48:54,already on disk
level3,bore_facies_descriptions,mesac31469,"Mount Gunson drill logs. Woolcalla, Ironstone Lagoon, Fair Nell, Sweet Nell and Mona Lena areas (Env 06626)",1972,https://catalog.sarig.sa.gov.au/dataset/mesac31469,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5933790/ENV06626.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31469\ENV06626.pdf,10940311,,963094e741c754c25ba7ab4d4335a9db1b2fb7e206d0ef740b6289873ced5ad5,2026-09-21 15:48:54,already on disk
level3,mount_gunson_analog,rb7200189,"RB 72/00189 Base metal mineralization in the Pernatty Lagoon region, SA (Johns)",4 Oct 1972,https://catalog.sarig.sa.gov.au/dataset/rb7200189,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4353567/RB7200189.pdf,01_data\wp1_data\database\reports\annexA_sources\rb7200189\RB7200189.pdf,3640340,,5632e0f00b9dd2a47bc0770a3f4d071ec37b7d1d2ead5d039ebbb3be4d211c2c,2026-09-21 15:49:01,ok
level3,mount_gunson_analog,mesac31341,"Env 06604: Evaluation of the East Lagoon orebody (Mathias, 30/4/1970, pp. 3-31); Lagoon reserves 1967-71 (mesac31339); East Lagoon remnants (mesac31343, 21/5/1971, pp. 128-147)",1970-1971,https://catalog.sarig.sa.gov.au/dataset/mesac31341,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5931470/ENV06604.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac31341\ENV06604.pdf,76059104,,e66ba70ec14056762c114274f92ffb66d74bcc5d69ff1820c6e81d0bf64f0186,2026-09-21 15:50:49,ok
level3,mount_gunson_analog,rb6300075,"RB 63/00075 Exploratory geophysical surveys at Mount Gunson, Pernatty Lagoon, SML 96 (Milton, Hussin, Taylor)",29 Sep 1966,https://catalog.sarig.sa.gov.au/dataset/rb6300075,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/4352125/RB6300075.pdf,01_data\wp1_data\database\reports\annexA_sources\rb6300075\RB6300075.pdf,1437920,,b023ae9aa8c1658da8a79ed20d96e45b7e6367c4f32ca38109a6bb5acd099065,2026-09-21 15:50:52,ok
level3,mount_gunson_analog,mesac3878,Env 02292: Cattlegrid mine pre-commissioning plans of pit development and orebody mining sequence,1973,https://catalog.sarig.sa.gov.au/dataset/mesac3878,https://demstedpprodaue12.blob.core.windows.net/mesac-public/resources/files/5942884/ENV02292.pdf,01_data\wp1_data\database\reports\annexA_sources\mesac3878\ENV02292.pdf,6969413,,d9cc79f077d7d7c6761472d2cebc3e07d1d05f8ac1f3890623e1d38f16d00137,2026-09-21 15:51:05,ok
