Proj No,Plan No,Scale,Sheet Name,Geology,Magnetics,Gravity,Photo tracks,Targets,Line interps,Notes,Tasman Notes,file,stuart_shelf_window
OD72,i,250000,Strzelecki,,,,Y,,,,,OD72_i_agd66_amg_Z54.jpg,False
OD73,i,1000000,South Australia,,,contours,Y,,,,ERTS,OD73_i_agd66_amg_Z53.jpg,False
OD73,vi,1000000,South Australia,,,contours,,,,,W edge SA,OD73_vi_agd66_amg_Z53.jpg,False
OD75,ii,250000,Tallaringa,,,,Y,,,,,OD75_ii_agd66_amg_Z53.jpg,False
OD76,i,1000000,Tarcoola,,contours,,,,Y,,,OD76_i_agd66_amg_Z53.jpg,False
OD76,ii,1000000,Tarcoola-Broken Hill,,contours,,Y,,,,,OD76_ii_agd66_amg_Z53.jpg,False
OD76,vii,250000,Tarcoola,,,,Y,,,,,OD76_vii_agd66_amg_Z53.jpg,False
OD81,i,250000,Whyalla,ingredients,,,,,Y,,,OD81_i_agd66_amg_Z53.jpg,False
OD81,ii,250000,Whyalla,survey,,,,,Y,,,OD81_ii_agd66_amg_Z53.jpg,False
OD89,ii,1000000,SA - NE,survey,,,,,Y,,Many lineaments (two sheets),OD89_ii_agd66_SC.jpg,False
OD89,iii,1000000,SA - SE,survey,,,,,Y,,,OD89_iii_agd66_SC.jpg,False
OD89,v,1000000,SA - E Sheet,outlines,,,,,Y,,WMC plan with O/lay,OD89_v_agd66_SC.jpg,False
OD9,ii,250000,Barton,,,,Y,,,,"dup of i, thinner liners",OD9_ii_agd66_amg_Z53.jpg,False
