file,bytes,image_w,image_h,world_file,source_zip,zip_sha256,retrieved
extracted\OD12_xxii_agd66_amg_Z54.jpg.aux.xml,7541,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD12_xxii_agd66_amg_Z54.TAB,402,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_iv_agd66_amg_Z54.jgw,94,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_iv_agd66_amg_Z54.jpg,4350136,5592,6156,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_iv_agd66_amg_Z54.jpg.aux.xml,7543,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_iv_agd66_amg_Z54.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_vi_agd66_amg_Z54.jgw,94,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_vi_agd66_amg_Z54.jpg,3138656,5726,5912,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_vi_agd66_amg_Z54.jpg.aux.xml,7389,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD13_vi_agd66_amg_Z54.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD14_ii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD14_ii_agd66_amg_Z54.jpg,6796408,6962,5375,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD14_ii_agd66_amg_Z54.jpg.aux.xml,7808,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD14_ii_agd66_amg_Z54.TAB,398,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD15_ii_agd66_amg_Z55.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD15_ii_agd66_amg_Z55.jpg,3316013,5380,4570,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD15_ii_agd66_amg_Z55.jpg.aux.xml,7289,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD15_ii_agd66_amg_Z55.TAB,400,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD17_iii_agd66_amg_Z54.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD17_iii_agd66_amg_Z54.jpg,3666172,6014,4947,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD17_iii_agd66_amg_Z54.jpg.aux.xml,7306,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD17_iii_agd66_amg_Z54.TAB,401,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD18_i_agd66_amg_Z55.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD18_i_agd66_amg_Z55.jpg,3137665,5497,8043,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD18_i_agd66_amg_Z55.jpg.aux.xml,7314,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD18_i_agd66_amg_Z55.jpg.xml,795,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD18_i_agd66_amg_Z55.TAB,399,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_i_agd66_amg_Z50.jgw,92,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_i_agd66_amg_Z50.jpg,5336139,5784,5129,yes,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
extracted\OD19_i_agd66_amg_Z50.jpg.aux.xml,7707,,,,https://d28rz98at9flks.cloudfront.net/79287/79287_ODriscoll.zip,25b9142f8f4cbf8edd84de5a46434a6ee0511d96745207de275ef68637200b49,2026-09-10 15:01:33
