DRILLHOLE_NO,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,in_regional_window,dist_od_km,LOGGING_ORGANISATION,logging_date,logged_before_t0,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,MAJOR_LITHOLOGY,MINOR_LITHOLOGY,DESCRIPTION,facies_class,reduced_words,reductant_words,oxidised_words
25521,LAKE EYRE BORE SOUTH 8A,137.5823277,-29.2656054,1961-10-17,South Australia. Department of Mines and Energy.,False,146.9,,2009-03-31,False,0.0,3.35,IH,Quaternary rocks,post-Cambrian cover,False,False,False,,,,none,,,
25521,LAKE EYRE BORE SOUTH 8A,137.5823277,-29.2656054,1961-10-17,South Australia. Department of Mines and Energy.,False,146.9,,2009-03-31,False,3.35,12.8,ae---e,Eyre Formation,post-Cambrian cover,False,False,False,,,,none,,,
25521,LAKE EYRE BORE SOUTH 8A,137.5823277,-29.2656054,1961-10-17,South Australia. Department of Mines and Energy.,False,146.9,,2009-03-31,False,12.8,,K--raw,Winton Formation,post-Cambrian cover,False,False,False,,,,none,,,
25531,LAKE EYRE BORE 10,137.6008237,-28.8948404,1961-09-12,South Australia. Department of Mines and Energy.,False,185.2,,2009-03-31,False,0.0,3.66,IH,Quaternary rocks,post-Cambrian cover,False,False,False,,,,none,,,
25531,LAKE EYRE BORE 10,137.6008237,-28.8948404,1961-09-12,South Australia. Department of Mines and Energy.,False,185.2,,2009-03-31,False,3.66,44.5,op---e,Etadunna Formation,post-Cambrian cover,False,False,False,,,,none,,,
25531,LAKE EYRE BORE 10,137.6008237,-28.8948404,1961-09-12,South Australia. Department of Mines and Energy.,False,185.2,,2009-03-31,False,44.5,,ae---e,Eyre Formation,post-Cambrian cover,False,False,False,,,,none,,,
25532,LAKE EYRE BORE 4,137.6743757,-28.9497784,1961-09-21,South Australia. Department of Mines and Energy.,False,182.4,,2009-03-31,False,0.0,3.96,IH,Quaternary rocks,post-Cambrian cover,False,False,False,,,,none,,,
25532,LAKE EYRE BORE 4,137.6743757,-28.9497784,1961-09-21,South Australia. Department of Mines and Energy.,False,182.4,,2009-03-31,False,3.96,40.23,op---e,Etadunna Formation,post-Cambrian cover,False,False,False,,,,none,,,
25532,LAKE EYRE BORE 4,137.6743757,-28.9497784,1961-09-21,South Australia. Department of Mines and Energy.,False,182.4,,2009-03-31,False,40.23,,ae---e,Eyre Formation,post-Cambrian cover,False,False,False,,,,none,,,
25536,LAKE EYRE BORE 0,137.7273867,-28.9872234,1961-10-04,South Australia. Department of Mines and Energy.,False,180.9,,2009-03-31,False,0.0,4.27,IH,Quaternary rocks,post-Cambrian cover,False,False,False,,,,none,,,
25536,LAKE EYRE BORE 0,137.7273867,-28.9872234,1961-10-04,South Australia. Department of Mines and Energy.,False,180.9,,2009-03-31,False,4.27,31.55,op---e,Etadunna Formation,post-Cambrian cover,False,False,False,,,,none,,,
25536,LAKE EYRE BORE 0,137.7273867,-28.9872234,1961-10-04,South Australia. Department of Mines and Energy.,False,180.9,,2009-03-31,False,31.55,,ae---e,Eyre Formation,post-Cambrian cover,False,False,False,,,,none,,,
32389,BE 29,138.0040535,-32.9215344,1948-07-07,,False,295.4,"Dept of Water, Land and Bio Cons",2003-03-05,False,0.0,57.91,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Sand,,none,,,
32389,BE 29,138.0040535,-32.9215344,1948-07-07,,False,295.4,"Dept of Water, Land and Bio Cons",2003-03-05,False,57.91,60.96,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,Clay (Sedimentary),,"dk red, sticky",oxidised,,,red
32390,,138.0094295,-32.9223884,1958-09-13,,False,295.6,"Dept of Water, Land and Bio Cons",2003-03-05,False,0.0,55.47,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,,,,none,,,
32390,,138.0094295,-32.9223884,1958-09-13,,False,295.6,"Dept of Water, Land and Bio Cons",2003-03-05,False,55.47,71.93,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,,,"uncertain if correct, may be Qpah",none,,,
32390,,138.0094295,-32.9223884,1958-09-13,,False,295.6,"Dept of Water, Land and Bio Cons",2003-03-05,False,71.93,80.77,om---m,Melton Limestone,post-Cambrian cover,False,False,False,,,"uncertain if correct, may be Qpah",none,,,
32392,BE 20,138.0040025,-32.9258784,1959-11-30,,False,295.8,"Dept of Water, Land and Bio Cons",2003-03-04,False,0.0,69.19,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32392,BE 20,138.0040025,-32.9258784,1959-11-30,,False,295.8,"Dept of Water, Land and Bio Cons",2003-03-04,False,69.19,76.2,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,Clay (Sedimentary),,,none,,,
32392,BE 20,138.0040025,-32.9258784,1959-11-30,,False,295.8,"Dept of Water, Land and Bio Cons",2003-03-04,False,76.2,81.69,om---m,Melton Limestone,post-Cambrian cover,False,False,False,Clay (Sedimentary),Grit,,none,,,
32403,POLE AJ,138.0325574,-32.9568344,1958-07-03,,False,300.0,"Dept of Water, Land and Bio Cons",2003-08-28,False,0.0,65.53,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32404,BE 67,138.0103534,-32.9579264,1947-04-11,,False,299.4,"Dept of Water, Land and Bio Cons",2003-08-05,False,0.0,26.82,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32406,,138.0144964,-32.9706704,1947-09-30,,False,300.8,"Dept of Water, Land and Bio Cons",2003-08-15,False,0.0,41.15,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32407,BE 64,138.0128344,-32.9701704,1958-05-07,,False,300.7,"Dept of Water, Land and Bio Cons",2003-08-15,False,0.0,22.86,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32409,,138.0104215,-32.9447934,1947-09-12,,False,298.0,"Dept of Water, Land and Bio Cons",2003-08-15,False,0.0,44.5,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32411,,138.0273884,-32.9610074,1958-07-19,,False,300.3,"Dept of Water, Land and Bio Cons",2003-12-11,False,0.0,67.06,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32412,,138.0295194,-32.9594214,1958-01-23,,False,300.2,"Dept of Water, Land and Bio Cons",2003-08-28,False,0.0,55.17,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32413,BELLCHAMBERS V 1,138.0341804,-32.9516934,1958-05-19,,False,299.5,"Dept of Water, Land and Bio Cons",2003-03-18,False,0.0,48.16,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32414,,138.033331,-32.9535347,1958-05-24,,False,299.7,"Dept of Water, Land and Bio Cons",2003-03-19,False,0.0,40.84,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32415,ABORIGINES DEPT 1,138.0379014,-32.9521104,1963-11-06,,False,299.7,"Dept of Water, Land and Bio Cons",2003-03-18,False,0.0,78.64,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32416,WAUCHOPE AW 1,138.0370514,-32.9569814,1948-02-19,,False,300.2,"Dept of Water, Land and Bio Cons",2003-04-02,False,0.0,38.1,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32417,BE 37,138.0378694,-32.9606604,1958-05-08,,False,300.6,"Dept of Water, Land and Bio Cons",2003-04-03,False,0.0,56.08,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32420,BE 36,138.0359464,-32.9591094,1958-08-07,,False,300.4,"Dept of Water, Land and Bio Cons",2003-04-02,False,0.0,68.58,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Sand,,none,,,
32421,BE 35,138.0344644,-32.9592954,1958-08-18,,False,300.3,"Dept of Water, Land and Bio Cons",2003-04-02,False,0.0,79.86,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32448,,138.0371314,-32.9228594,1948-09-29,,False,296.6,"Dept of Water, Land and Bio Cons",2003-03-05,False,0.0,22.25,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32449,BE 73,138.0381574,-32.9233034,1948-10-20,,False,296.7,"Dept of Water, Land and Bio Cons",2003-03-06,False,0.0,62.48,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,assumed original well was dug in Qpah,none,,,
32449,BE 73,138.0381574,-32.9233034,1948-10-20,,False,296.7,"Dept of Water, Land and Bio Cons",2003-03-06,False,62.48,67.36,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,,,extrapolated - uncertain if correct,none,,,
32452,BE 74,138.0510114,-32.9265864,1929-10-01,,False,297.5,"Dept of Water, Land and Bio Cons",2003-03-06,False,0.0,5.18,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Gravel,,consolidated boulder,none,,,
32453,BE 39,138.0468824,-32.9298694,1929-09-30,,False,297.7,"Dept of Water, Land and Bio Cons",2003-03-06,False,0.0,10.97,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32455,HOBART TW,138.0428894,-32.9354914,1949-10-15,,False,298.2,"Dept of Water, Land and Bio Cons",2003-03-10,False,0.0,18.29,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Gravel,Clay (Sedimentary),,none,,,
32456,HOBART TW,138.0380884,-32.9403354,1958-09-26,,False,298.5,"Dept of Water, Land and Bio Cons",2003-03-11,False,0.0,40.84,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32456,HOBART TW,138.0380884,-32.9403354,1958-09-26,,False,298.5,"Dept of Water, Land and Bio Cons",2003-03-11,False,40.84,60.05,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,Clay (Sedimentary),,,none,,,
32456,HOBART TW,138.0380884,-32.9403354,1958-09-26,,False,298.5,"Dept of Water, Land and Bio Cons",2003-03-11,False,60.05,67.67,om---m,Melton Limestone,post-Cambrian cover,False,False,False,Clay (Sedimentary),,,none,,,
32457,,138.0403194,-32.9349524,1960-03-08,,False,298.0,"Dept of Water, Land and Bio Cons",2003-03-07,False,0.0,68.88,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32458,BE 32,138.0444254,-32.9342924,1960-05-24,,False,298.1,"Dept of Water, Land and Bio Cons",2003-03-07,False,0.0,82.91,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32458,BE 32,138.0444254,-32.9342924,1960-05-24,,False,298.1,"Dept of Water, Land and Bio Cons",2003-03-07,False,82.91,112.78,pI--ag,Gibbon beds,post-Cambrian cover,False,False,False,,,may be Tomm from 106.38m,none,,,
32459,BE 31,138.0452434,-32.9331664,1974-08-05,,False,298.0,"Dept of Water, Land and Bio Cons",2003-03-07,False,0.0,7.6,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,,,,none,,,
32467,,138.0496334,-32.9336314,1958-06-25,,False,298.2,"Dept of Water, Land and Bio Cons",2003-03-17,False,0.0,29.26,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Gravel,Clay (Sedimentary),,none,,,
32467,,138.0496334,-32.9336314,1958-06-25,,False,298.2,"Dept of Water, Land and Bio Cons",2003-03-17,False,29.26,29.87,N-,Neoproterozoic rocks,Adelaidean,False,False,False,Sandstone,,"uncertain, may be large boulder",none,,,
32469,BE 42,138.0551174,-32.9337564,1960-04-26,,False,298.4,"Dept of Water, Land and Bio Cons",2003-03-10,False,0.0,44.5,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,possibly Tertiary from 27.13m,none,,,
32469,BE 42,138.0551174,-32.9337564,1960-04-26,,False,298.4,"Dept of Water, Land and Bio Cons",2003-03-10,False,44.5,124.36,N-,Neoproterozoic rocks,Adelaidean,False,False,False,Clay (Regolith),,weathered slate,none,,,
32469,BE 42,138.0551174,-32.9337564,1960-04-26,,False,298.4,"Dept of Water, Land and Bio Cons",2003-03-10,False,124.36,159.41,N-,Neoproterozoic rocks,Adelaidean,False,False,False,Slate,,"grey-blue slate, quartz stringers",reduced,grey,,
32471,,138.0477514,-32.9387704,1948-11-05,,False,298.7,"Dept of Water, Land and Bio Cons",2003-03-17,False,0.0,51.21,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,?possibly TpQau from 37.19m?,none,,,
32472,WAUCHOPE JW 2,138.0474204,-32.9397094,1948-12-01,,False,298.7,"Dept of Water, Land and Bio Cons",2003-03-17,False,0.0,30.48,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
32473,WAUCHOPE JW 3,138.0565894,-32.9392044,1949-05-20,,False,299.0,"Dept of Water, Land and Bio Cons",2003-03-17,False,0.0,10.06,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),,"red-brown calcareous clay, some gravel and boulders",oxidised,,,brown; red
32473,WAUCHOPE JW 3,138.0565894,-32.9392044,1949-05-20,,False,299.0,"Dept of Water, Land and Bio Cons",2003-03-17,False,10.06,66.14,ap,Tertiary rocks,post-Cambrian cover,False,False,False,Clay (Sedimentary),Sand,"white, yellow clay and minor sand and gravel, talcose in part",none,,,
32473,WAUCHOPE JW 3,138.0565894,-32.9392044,1949-05-20,,False,299.0,"Dept of Water, Land and Bio Cons",2003-03-17,False,66.14,96.01,N-,Neoproterozoic rocks,Adelaidean,False,False,False,Clay (Regolith),Shale,"bluish grey clay, grading into shale, green-grey, chloritic",reduced,green; grey,,
32475,ABORIGINAL RESERVE - A,138.0429094,-32.9410184,1949-07-23,South Australia. Department of Mines and Energy.,False,298.7,"Dept of Water, Land and Bio Cons",2003-03-17,False,0.0,64.01,I---ah,Hindmarsh Clay,post-Cambrian cover,False,False,False,Clay (Sedimentary),Gravel,,none,,,
33162,SPRINGFIELD 11,138.4001944,-32.1256184,1958-09-03,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,0.0,6.1,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Sand,Brown sand to 1.5m over grey/brown clay.,mixed,grey,,brown
33162,SPRINGFIELD 11,138.4001944,-32.1256184,1958-09-03,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,6.1,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Siltstone,"Argillite. layered grey-brown-dark purple-black, minor interbedded grey siltstone, mainly carbonaceous with rare coaly flakes.",mixed,black; carbonaceous; dark; grey,carbonaceous,brown; purple
33163,SPRINGFIELD 13,138.3997874,-32.1212814,1958-09-22,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,0.0,3.05,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Ironstone (Undiff. Origin),,Hrad ferruginous beds.,oxidised,,,ferruginous
33163,SPRINGFIELD 13,138.3997874,-32.1212814,1958-09-22,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,3.05,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Sandstone,"Argillite. layered grey-dark grey-brown-black, minor whitish argillaceous sandstone, mainly carbonaceous with rare lustrous & argillaceous coal seams to 0.6m thick.",mixed,black; carbonaceous; dark; grey,carbonaceous,brown
33164,SPRINGFIELD 15,138.4064364,-32.1222294,1958-10-08,South Australia. Department of Mines and Energy.,False,236.2,Mines & Energy SA,1998-09-10,False,0.0,3.05,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Soil,Clay (Undiff. Origin),Red/brown clay soil.,oxidised,,,brown; red
33164,SPRINGFIELD 15,138.4064364,-32.1222294,1958-10-08,South Australia. Department of Mines and Energy.,False,236.2,Mines & Energy SA,1998-09-10,False,3.05,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Clay (Regolith),"Argillite. layered grey-dark grey-black, weathered to pale clays above 15m, carbonaceous throughout with rare lustrous coal partings.",reduced,black; carbonaceous; dark; grey,carbonaceous,
33165,SPRINGFIELD 19,138.4051884,-32.1213924,1958-11-18,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,0.0,8.84,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Silt,"Clay, red-buff-brown, sandy towards top, buff clayey silt at bottom.",oxidised,,,brown; buff; red
33165,SPRINGFIELD 19,138.4051884,-32.1213924,1958-11-18,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,8.84,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Sandstone,"Argillite, minor fine sandstone & lesser siltstone, layered buff-light grey-beige, rarely carbonaceous & shaly, very rare coaly flakes.",mixed,carbonaceous; grey,carbonaceous,buff
33166,SPRINGFIELD 22,138.4075734,-32.1232444,1958-12-18,South Australia. Department of Mines and Energy.,False,236.4,Mines & Energy SA,1998-09-11,False,0.0,4.57,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Gravel,"Red/brown clay, calcareous, some small subrounded gravel.",oxidised,,,brown; red
33166,SPRINGFIELD 22,138.4075734,-32.1232444,1958-12-18,South Australia. Department of Mines and Energy.,False,236.4,Mines & Energy SA,1998-09-11,False,4.57,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Claystone,Clay (Sedimentary),"Claystone, slightly sandy in places, moderately carbonaceous in places, lesser clay layers, light brown-light grey-off white.",mixed,carbonaceous; grey,carbonaceous,brown
33167,SPRINGFIELD 24,138.3968604,-32.1273534,1959-02-25,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-11,False,0.0,10.67,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Alluvium,Clay (Undiff. Origin),"Alluvium, pebbly clay.",none,,,
33167,SPRINGFIELD 24,138.3968604,-32.1273534,1959-02-25,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-11,False,10.67,68.58,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Siltstone,"Argillite & siltstone, minor silty sandstone, layered whitish-light grey-light brown, carbonaceous in places with few coaly fragments.",mixed,carbonaceous; grey,carbonaceous,brown
33168,SPRINGFIELD 6,138.4109384,-32.1166404,1958-07-07,South Australia. Department of Mines and Energy.,False,236.0,Mines & Energy SA,1998-09-10,False,0.0,9.14,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Gravel,Brown soil over brown & yellow clay with pebbles.,oxidised,,,brown
33168,SPRINGFIELD 6,138.4109384,-32.1166404,1958-07-07,South Australia. Department of Mines and Energy.,False,236.0,Mines & Energy SA,1998-09-10,False,9.14,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Shale,,"Bedded shale, grey-dark grey-black, carbonaceous & coaly in places with rare pyrite & few thin coal & shaly coal seams to 0.4m thick.",reduced,black; carbonaceous; dark; grey; pyrite,carbonaceous; pyrite,
33169,SPRINGFIELD 7,138.4099044,-32.1157174,1958-07-23,South Australia. Department of Mines and Energy.,False,235.8,Mines & Energy SA,1998-09-10,False,0.0,11.28,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Alluvium,Clay (Undiff. Origin),"Alluvium, pebbly clay.",none,,,
33169,SPRINGFIELD 7,138.4099044,-32.1157174,1958-07-23,South Australia. Department of Mines and Energy.,False,235.8,Mines & Energy SA,1998-09-10,False,11.28,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Clay (Regolith),"Argillite. layered grey-dark grey-black, weathered clayey towards top, carbonaceous throughout with common lustrous coal & shaly coal seams to 0.3m thick.",reduced,black; carbonaceous; dark; grey,carbonaceous,
33170,SPRINGFIELD 8,138.4090574,-32.1148794,1958-07-30,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,0.0,6.1,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Alluvium,Clay (Undiff. Origin),"Alluvium, pebbly clay.",none,,,
33170,SPRINGFIELD 8,138.4090574,-32.1148794,1958-07-30,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,6.1,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Clay (Regolith),"Argillite. layered grey-dark grey-brown-black, weathered clayey towards top, carbonaceous throughout with common lustrous coal & shaly coal seams to 0.3m thick.",mixed,black; carbonaceous; dark; grey,carbonaceous,brown
33171,SPRINGFIELD 9,138.4082964,-32.1144404,1958-08-08,South Australia. Department of Mines and Energy.,False,235.6,Mines & Energy SA,1998-09-10,False,0.0,8.84,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Gravel,Brown clay & pebbles.,oxidised,,,brown
33171,SPRINGFIELD 9,138.4082964,-32.1144404,1958-08-08,South Australia. Department of Mines and Energy.,False,235.6,Mines & Energy SA,1998-09-10,False,8.84,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Clay (Regolith),"Argillite. layered grey-dark grey-black, weathered clayey towards top, mainly carbonaceous with common lustrous coal & shaly coal seams to 0.5m thick.",reduced,black; carbonaceous; dark; grey,carbonaceous,
33172,SPRINGFIELD 10,138.4072904,-32.1136894,1958-08-28,South Australia. Department of Mines and Energy.,False,235.5,Mines & Energy SA,1998-09-10,False,0.0,5.18,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Gravel,Red pebbly clay.,oxidised,,,red
33172,SPRINGFIELD 10,138.4072904,-32.1136894,1958-08-28,South Australia. Department of Mines and Energy.,False,235.5,Mines & Energy SA,1998-09-10,False,5.18,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Sandstone,"Argillite. layered light grey-black, some whitish bands towards bottom, a few thin sandy horizons, carbonaceous throughout with common lustrous coal & shaly coal seams to 0.5m thick.",reduced,black; carbonaceous; grey,carbonaceous,
33173,SPRINGFIELD 16,138.4117594,-32.1175594,1958-10-29,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,0.0,7.92,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Alluvium,Clay (Undiff. Origin),"Alluvium, brown clay.",oxidised,,,brown
33173,SPRINGFIELD 16,138.4117594,-32.1175594,1958-10-29,South Australia. Department of Mines and Energy.,False,236.1,Mines & Energy SA,1998-09-10,False,7.92,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Siltstone,"Argillite, lesser siltstone, minor sandstone, layered, buff-light brown-light grey-dark grey, weakly carbonaceous in places, rare coaly patches.",mixed,carbonaceous; dark; grey,carbonaceous,brown; buff
33174,SPRINGFIELD 18,138.4127954,-32.1183924,1958-11-13,South Australia. Department of Mines and Energy.,False,236.2,Mines & Energy SA,1998-09-10,False,0.0,4.57,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Alluvium,Clay (Undiff. Origin),"Alluvium, red pebbly clay.",oxidised,,,red
33174,SPRINGFIELD 18,138.4127954,-32.1183924,1958-11-13,South Australia. Department of Mines and Energy.,False,236.2,Mines & Energy SA,1998-09-10,False,4.57,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Siltstone,"Argillite, lesser siltstone, minor sandstone, more common from 45m, layered, whitish-buff-light brown-light grey, weakly carbonaceous in places, rare coaly patches, 1.8m dull coal band at 42.7m.",mixed,carbonaceous; grey,carbonaceous,brown; buff
33175,SPRINGFIELD 21,138.4151404,-32.1104144,1958-12-05,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-11,False,0.0,10.67,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),Silt,"Clay & silt soil, brown, ferruginous, calcareous in part.",oxidised,,,brown; ferruginous
33175,SPRINGFIELD 21,138.4151404,-32.1104144,1958-12-05,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-11,False,10.67,68.58,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Siltstone,"Argillite, lesser siltstone, layered brown-grey-light grey, mainly carbonaceous.",mixed,carbonaceous; grey,carbonaceous,brown
33179,SPRINGFIELD 1A,138.4027344,-32.1196734,1958-08-02,South Australia. Department of Mines and Energy.,False,235.8,Mines & Energy SA,1998-09-10,False,0.0,3.05,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Clay (Undiff. Origin),,"Red & grey clay, shaly with depth.",mixed,grey,,red
33179,SPRINGFIELD 1A,138.4027344,-32.1196734,1958-08-02,South Australia. Department of Mines and Energy.,False,235.8,Mines & Energy SA,1998-09-10,False,3.05,332.23,R-,Triassic rocks,post-Cambrian cover,False,False,False,Argillite,Sandstone,"Layered & variable argillite with lesser sandstone, siltstone & shale, grey-dark grey-light grey-buff-red, carbonaceous & pyritic in places with several seams of coal, shaly coal & lignite to 2.4m thick.",mixed,carbonaceous; dark; grey; pyritic,carbonaceous; pyritic,buff; red
33179,SPRINGFIELD 1A,138.4027344,-32.1196734,1958-08-02,South Australia. Department of Mines and Energy.,False,235.8,Mines & Energy SA,1998-09-10,False,332.23,347.47,P-,Permian rocks,post-Cambrian cover,False,False,False,Conglomerate,Sandstone,"Conglomerate, large pink & grey rounded quartzite boulders in fine-coarse clayey sandstone & siltstone matrix.",reduced,grey,,
33180,SPRINGFIELD 2,138.3988394,-32.1210814,1958-05-27,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,0.0,0.3,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Soil,Clay (Undiff. Origin),Red clay soil.,oxidised,,,red
33180,SPRINGFIELD 2,138.3988394,-32.1210814,1958-05-27,South Australia. Department of Mines and Energy.,False,235.7,Mines & Energy SA,1998-09-10,False,0.3,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Shale,Sandstone,"Shale, dark grey-black, carbonaceous, coaly in places, few thin seams of shaly coal & black lustrous coal, very fine sandstone in top 12m, minor fine sandstone interbeds towards bottom.",reduced,black; carbonaceous; dark; grey,carbonaceous,
33182,SPRINGFIELD 3A,138.3968534,-32.1201394,1958-06-18,South Australia. Department of Mines and Energy.,False,235.5,Mines & Energy SA,1998-09-10,False,0.0,6.1,IH,Quaternary rocks,post-Cambrian cover,False,False,False,Soil,Clay (Undiff. Origin),Red clay soil over buff-brown clay with gypsum.,oxidised,,,brown; buff; red
33182,SPRINGFIELD 3A,138.3968534,-32.1201394,1958-06-18,South Australia. Department of Mines and Energy.,False,235.5,Mines & Energy SA,1998-09-10,False,6.1,60.96,R-,Triassic rocks,post-Cambrian cover,False,False,False,Clay (Sedimentary),Shale,"Clay, varicoloured black-brown-grey-white, layered with lesser shale, minor siltstone & fine sandstone, carbonaceous & coaly in places with rare thin coal seams",mixed,black; carbonaceous; grey,carbonaceous,brown
