DRILLHOLE_NO,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,in_regional_window,dist_od_km,LOGGING_ORGANISATION,logging_date,logged_before_t0,DEPTH_FROM_M,DEPTH_TO_M,GIS_CODE,STRAT_UNIT_NAME,age_class,is_pre_adelaidean,is_pandurra,is_crystalline_basement,MAJOR_LITHOLOGY,MINOR_LITHOLOGY,DESCRIPTION,facies_class,reduced_words,reductant_words,oxidised_words
4066,,134.45251,-32.8520853,1958-09-05,,False,353.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,24.3,36.58,M-th,Hiltaba Suite,Mesoproterozoic,True,False,True,Granite,,highly decomposed granite,none,,,
4067,,134.477769,-32.8235633,1953-10-03,,False,349.6,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,17.0,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4067,,134.477769,-32.8235633,1953-10-03,,False,349.6,"Dept of Water, Land and Bio Cons",2010-04-20,False,17.0,28.04,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sandstone,Clay (Undiff. Origin),"creamy clayey sand, sandstone.",none,,,
4067,,134.477769,-32.8235633,1953-10-03,,False,349.6,"Dept of Water, Land and Bio Cons",2010-04-20,False,28.04,36.5,M-th,Hiltaba Suite,Mesoproterozoic,True,False,True,Granite,,granite bedrock,none,,,
4078,DEPT OF MINES,134.4643,-32.9404003,1967-05-05,South Australia. Department of Mines and Energy.,False,360.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.19,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,"limestone, dark sand with limestone conglomerate",reduced,dark,,
4079,DEPT OF MINES,134.498759,-32.9419153,1967-05-15,South Australia. Department of Mines and Energy.,False,358.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,7.92,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,"limestone, sandy limestone and conglomerate,",none,,,
4079,DEPT OF MINES,134.498759,-32.9419153,1967-05-15,South Australia. Department of Mines and Energy.,False,358.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,7.92,12.19,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Gravel,"	brown sand, gravel",oxidised,,,brown
4086,DEPT OF MINES,134.474092,-32.9650943,1967-05-10,South Australia. Department of Mines and Energy.,False,361.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.19,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,"limestone, rubbly limestone sand",none,,,
4086,DEPT OF MINES,134.474092,-32.9650943,1967-05-10,South Australia. Department of Mines and Energy.,False,361.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,12.19,16.67,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"sand, clay, gravel",none,,,
4125,,134.311185,-32.7970933,1955-08-19,,False,357.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,10.6,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4125,,134.311185,-32.7970933,1955-08-19,,False,357.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,10.6,30.48,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Gravel,sand and gravel,none,,,
4127,,134.350802,-32.7920373,1956-12-20,,False,355.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,19.81,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone, sandy limestone",none,,,
4127,,134.350802,-32.7920373,1956-12-20,,False,355.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,19.81,36.58,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Gravel,sand and gravel at depth,none,,,
4127,,134.350802,-32.7920373,1956-12-20,,False,355.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,36.58,40.2,Y--p,St Peter Suite,Palaeoproterozoic,True,False,True,Granite,,	granite bedrock,none,,,
4128,,134.397554,-32.8036093,1956-11-24,,False,352.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,10.97,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,slightly sandy limestone,none,,,
4128,,134.397554,-32.8036093,1956-11-24,,False,352.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,10.97,30.48,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,brown sandy marl with grit,oxidised,,,brown
4132,,134.423288,-32.7981293,1952-11-27,,False,350.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,22.86,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone, bottom layer is hard clayey sand/sandstone",none,,,
4132,,134.423288,-32.7981293,1952-11-27,,False,350.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,22.86,45.11,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"brown calc, clayey sand",oxidised,,,brown
4132,,134.423288,-32.7981293,1952-11-27,,False,350.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,45.11,47.55,eI-ibp,Pidinga Formation,post-Cambrian cover,False,False,False,Sandstone,,"	sandstone layer, likely upper pidinga",none,,,
4137,,134.406637,-32.8111043,1949-08-12,,False,353.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,9.14,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4137,,134.406637,-32.8111043,1949-08-12,,False,353.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,9.14,28.04,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"sand, clay and grit",none,,,
4141,,134.35314,-32.8082683,1947-07-09,,False,356.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,10.97,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4141,,134.35314,-32.8082683,1947-07-09,,False,356.1,"Dept of Water, Land and Bio Cons",2010-04-20,False,10.97,28.96,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"clayey, sand, quartz.",none,,,
4142,,134.330928,-32.8162603,1955-08-15,,False,358.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,15.24,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone, sand, limestone rubble",none,,,
4142,,134.330928,-32.8162603,1955-08-15,,False,358.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,15.24,27.7,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,,light brown medium sand,oxidised,,,brown
4151,,134.394675,-32.8391643,1955-07-11,,False,356.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,15.24,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,"limestone, sand",none,,,
4151,,134.394675,-32.8391643,1955-07-11,,False,356.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,15.24,18.9,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Granite,"red/brown sand, granitic",oxidised,,,brown; red
4153,,134.352346,-32.8368323,1957-03-01,,False,358.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,15.24,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,brown sandy limestone,oxidised,,,brown
4153,,134.352346,-32.8368323,1957-03-01,,False,358.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,15.24,38.1,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"red brown clayey sand, clay band at depth",oxidised,,,brown; red
4154,,134.380229,-32.8513513,1958-08-01,,False,357.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,10.67,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4154,,134.380229,-32.8513513,1958-08-01,,False,357.9,"Dept of Water, Land and Bio Cons",2010-04-20,False,10.67,27.13,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Silt,red brown silty sand,oxidised,,,brown; red
4158,,134.414176,-32.8358373,1949-08-02,,False,354.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,4.88,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4158,,134.414176,-32.8358373,1949-08-02,,False,354.5,"Dept of Water, Land and Bio Cons",2010-04-20,False,4.88,36.27,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"rusty sand, quartz grit",none,,,
4159,,134.418914,-32.8481183,1954-02-25,,False,355.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,10.36,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4159,,134.418914,-32.8481183,1954-02-25,,False,355.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,10.36,41.25,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"brown sand, white clay and grit",oxidised,,,brown
4159,,134.418914,-32.8481183,1954-02-25,,False,355.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,41.25,42.65,M-th,Hiltaba Suite,Mesoproterozoic,True,False,True,Granite,,granite,none,,,
4161,,134.412193,-32.8594793,1963-10-22,,False,356.6,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,4.0,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4161,,134.412193,-32.8594793,1963-10-22,,False,356.6,"Dept of Water, Land and Bio Cons",2010-04-20,False,4.0,24.08,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),pink clayey sand,none,,,
4164,,134.433128,-32.8463973,1950-05-30,,False,354.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,4.27,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4164,,134.433128,-32.8463973,1950-05-30,,False,354.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,4.27,36.88,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),"silaceous sand, clayey",none,,,
4164,,134.433128,-32.8463973,1950-05-30,,False,354.2,"Dept of Water, Land and Bio Cons",2010-04-20,False,36.88,37.19,M-th,Hiltaba Suite,Mesoproterozoic,True,False,True,Granite,,hard granite bedrock,none,,,
4167,,134.430489,-32.8329903,1959-05-21,,False,353.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,13.72,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,Sand,	limesotn,none,,,
4167,,134.430489,-32.8329903,1959-05-21,,False,353.3,"Dept of Water, Land and Bio Cons",2010-04-20,False,13.72,25.91,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Calcrete,fine calcareous sand,none,,,
4177,,134.365279,-32.8692993,1955-07-05,,False,360.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.54,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4177,,134.365279,-32.8692993,1955-07-05,,False,360.4,"Dept of Water, Land and Bio Cons",2010-04-20,False,12.54,24.38,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"	pink sand, grit",none,,,
4179,,134.388537,-32.8710303,1955-07-22,,False,359.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,7.6,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4179,,134.388537,-32.8710303,1955-07-22,,False,359.0,"Dept of Water, Land and Bio Cons",2010-04-20,False,7.6,24.99,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"	sand, sandstone grit",none,,,
4180,,134.350625,-32.8619083,1955-07-27,,False,360.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.19,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone	,none,,,
4180,,134.350625,-32.8619083,1955-07-27,,False,360.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,12.19,25.91,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,	fine light red/brown sand with grit,oxidised,,,brown; red
4181,,134.342127,-32.8561723,1956-03-09,,False,360.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,11.58,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,LIMESTONE,none,,,
4181,,134.342127,-32.8561723,1956-03-09,,False,360.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,11.58,18.29,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"red/brown sand, gritty",oxidised,,,brown; red
4181,,134.342127,-32.8561723,1956-03-09,,False,360.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,18.29,20.0,Y--p,St Peter Suite,Palaeoproterozoic,True,False,True,Granite,,highly decomposed granite,none,,,
4184,,134.440338,-32.9046563,1956-04-27,,False,358.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,7.62,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4184,,134.440338,-32.9046563,1956-04-27,,False,358.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,7.62,18.29,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Grit,"sand, ironstone grit",none,,,
4185,,134.40394,-32.8789703,1956-05-02,,False,358.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,12.19,I---cb,Bridgewater Formation,post-Cambrian cover,False,False,False,Limestone,,limestone,none,,,
4185,,134.40394,-32.8789703,1956-05-02,,False,358.7,"Dept of Water, Land and Bio Cons",2010-04-20,False,12.19,21.34,eI-i-g,Garford Formation,post-Cambrian cover,False,False,False,Sand,Clay (Undiff. Origin),red brown calc sand,oxidised,,,brown; red
4193,DEPT OF MINES,134.438234,-32.9161833,1967-05-02,South Australia. Department of Mines and Energy.,False,359.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,0.0,8.23,I---ew,Wiabuna Formation,post-Cambrian cover,False,False,False,Gravel,Sand,"limestone rubble, gravel, sand",none,,,
4193,DEPT OF MINES,134.438234,-32.9161833,1967-05-02,South Australia. Department of Mines and Energy.,False,359.8,"Dept of Water, Land and Bio Cons",2010-04-20,False,8.23,,Y--p,St Peter Suite,Palaeoproterozoic,True,False,True,Granite,,granite,none,,,
