reading,DRILLHOLE_NO,basement_top_m,basement_unit,contact_cover_unit,contact_cover_from_m,contact_cover_to_m,contact_facies_class,contact_reduced_words,contact_oxidised_words,contact_description,contact_logging_date,contact_logged_before_t0,DH_NAME,lon_dd,lat_dd,drill_date,OPERATOR_NAME,LITHO_LOG,in_regional_window,dist_od_km
pandurra_as_cover,140269,1.5,Roopena Basalt,Quaternary rocks,0.0,1.5,none,,,,1993-12-24,False,BHP RP 2,137.3671986,-32.7306594,1969-12-12,Broken Hill Pty Co Ltd.,N,False,258.6
pandurra_as_cover,140270,1.5,Fresh Well Formation unit 2,Quaternary rocks,0.0,1.5,none,,,,1993-11-11,False,BHP RP 3,137.3510466,-32.7330374,1969-12-12,Broken Hill Pty Co Ltd.,N,False,258.6
pandurra_as_cover,140271,1.0,Fresh Well Formation unit 2,Quaternary rocks,0.0,1.0,none,,,,1993-12-24,False,BHP RP 4,137.3731546,-32.7379424,1969-12-12,Broken Hill Pty Co Ltd.,N,False,259.5
pandurra_as_cover,140272,0.0,Fresh Well Formation,,,,no cover interval logged,,,,,,BHP RP 5,137.3611796,-32.7410534,1969-12-12,Broken Hill Pty Co Ltd.,N,False,259.7
pandurra_as_cover,140273,4.6,Fresh Well Formation,Quaternary rocks,0.0,4.6,none,,,,1993-12-24,False,BHP RP 6,137.3892126,-32.7360144,1969-12-12,Broken Hill Pty Co Ltd.,N,False,259.6
pandurra_as_cover,140278,24.0,Cooyerdoo Granite,Gairdner Dolerite,17.0,24.0,none,,,,1993-11-22,False,DME PH 30,137.1284416,-32.8030484,1969-12-12,South Australia. Department of Mines and Energy.,N,False,263.6
pandurra_as_cover,140298,7.5,Gawler Range Volcanics,Quaternary rocks,0.0,7.5,none,,,"Laterite, silcrete & clay; soil to 3m",1993-12-11,False,PACMINEX EX 40,137.3688546,-32.5103274,1973-10-02,Mount Gunson Mines Pty Ltd.,N,False,234.6
pandurra_as_cover,140302,70.0,Gawler Range Volcanics,Backy Point Formation,40.0,70.0,mixed,green,purple,Purple-green calcareous sandstone with abundant volcanic clasts in places; shale 65.5-70m,1995-02-20,False,PACMINEX EX 46,137.3630806,-32.5661644,1973-11-09,Mount Gunson Mines Pty Ltd.,N,False,240.6
pandurra_as_cover,140313,53.0,Gawler Range Volcanics,Pandurra Formation,6.0,53.0,none,,,"Sandstone, coarse in places, with minor siltstone & shale; basal conglomerate",1993-11-11,False,PACMINEX EX 57,137.3751426,-32.6438504,1973-11-14,Mount Gunson Mines Pty Ltd.,N,False,249.3
pandurra_as_cover,140340,28.0,Gawler Range Volcanics,Backy Point Formation,20.0,28.0,none,,,Khaki clayey & gravelly sandstone,1993-12-10,False,PACMINEX EX 90,137.3917766,-32.5037604,1974-03-21,Mount Gunson Mines Pty Ltd.,N,False,234.3
pandurra_as_cover,140342,4.0,Gawler Range Volcanics,Quaternary rocks,0.0,4.0,none,,,Sand & gravel,1993-12-10,False,PACMINEX EX 92,137.3399346,-32.5032024,1974-03-22,Mount Gunson Mines Pty Ltd.,N,False,233.3
pandurra_as_cover,140851,61.57,Peake Metamorphics,Callanna Group,0.0,61.57,none,,,Very weathered basic over 2m of sediments,1994-03-04,False,URN 1,135.860457,-28.0954653,1974-01-01,Uranerz (Australia) Pty Ltd.,N,False,279.2
pandurra_as_cover,140852,0.0,Wirriecurrie Granite,,,,no cover interval logged,,,,,,URN 2,135.841727,-28.0427763,1974-01-01,Uranerz (Australia) Pty Ltd.,N,False,285.3
