row,material,property,value,unit,source,printed_page,table,status_t0,note
130,Haematite,susceptibility,"4,110-9,860",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,"rich, very low magnetisation"
131,Magnetite ore,susceptibility,"71,000-97,000",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,low magnetisation
132,Magnetite ore,susceptibility,3.0e6-6.15e6,k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,31.1-63.3% magnetite
133,Magnetite ore,susceptibility,1.25e7-1.4e7,k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,86.1-94.6% magnetite
134,Chromite ore,susceptibility,"7,500-1.2e6",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,26.76-58.40% Fe
135,Iron ore,susceptibility,6.5e6-1.53e6,k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,"15.4-26.1% magnetite; Biwabik and Soudan, USA [check digits]"
136,Haussmannite,susceptibility,"1,650",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,Mn3O4
137,Jacobsite,susceptibility,"25,000",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,(MnFe)2O4
138,Pyrite ore,susceptibility,"5,300",k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,compact
139,Pyrrhotite,susceptibility,750,k x 1e-6 (rationalised units),"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",29,Table I (continued),pre-t0,compact
140,rocks and ores,resistivity ranges,"see Fig. 56 (graphical, log scale, ohm-m)",ohm-m,"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",166,Fig. 56,pre-t0,"approximate ranges for wet limestone, chromite ore, moraine, clays, haematite ore, galena ore, magnetite ore, pyrite ore, graphitic shales, rock salt, marble and quartz; no tabulated numbers"
141,rock with moderate impregnation of conducting minerals,resistivity,"20,000-50,000 in situ, falling to 3,000-5,000 where impregnated",ohm-m,"Parasnis, D.S. 1973, Mining Geophysics, 2nd revised and updated ed., Elsevier (Methods in Geochemistry and Geophysics 3); printing 1973 confirmed by Peng, title page of this copy reads 1975",166,text (electrical methods),pre-t0,"the rock named in this sentence is on p. 165, which is not in the scan"
142,Igneous rocks,"density, 80 per cent fiducial limits",2.55-2.95,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
143,Limestone,"density, 80 per cent fiducial limits",2.20-2.70,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
144,Shale,"density, 80 per cent fiducial limits",2.10-2.60,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
145,Sandstone,"density, 80 per cent fiducial limits",2.05-2.50,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
146,Soil and alluvium,"density, 80 per cent fiducial limits",1.70-2.25,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
147,Salt,"density, 80 per cent fiducial limits",1.90-2.15,g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,Fig. 7-6,pre-t0,"read by eye from the bar chart; approximate. Birch 1942 data, small specimens"
148,sedimentary rocks,caution on predicting a density contrast,not predictable without other geological information,text,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",199,text (ch. 7),pre-t0,"quote: it is evidently impossible to predict with confidence the difference in average density between them, without having access to other geological information"
149,sedimentary rocks,density histograms,"see Fig. 7-5 (soil and alluvia, sandstones, shales, limestones)",g/cm3,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",198,Fig. 7-5,pre-t0,"graphical, 1.4 to 3.0 g/cm3; no tabulated values"
150,Basic effusive,susceptibility distribution,5 / 29 / 47 / 19,per cent of samples with k < 1e-4 / 1e-4 to 1e-3 / 1e-3 to 4e-3 / > 4e-3 emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-2,pre-t0,97 samples; Slichter in Birch 1942
151,Basic plutonic,susceptibility distribution,24 / 27 / 28 / 21,per cent of samples with k < 1e-4 / 1e-4 to 1e-3 / 1e-3 to 4e-3 / > 4e-3 emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-2,pre-t0,53 samples; Slichter in Birch 1942
152,Granites and allied rocks,susceptibility distribution,60 / 23 / 16 / 1,per cent of samples with k < 1e-4 / 1e-4 to 1e-3 / 1e-3 to 4e-3 / > 4e-3 emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-2,pre-t0,74 samples; Slichter in Birch 1942
153,"Gneisses, schists, slates",susceptibility distribution,71 / 22 / 7 / 0,per cent of samples with k < 1e-4 / 1e-4 to 1e-3 / 1e-3 to 4e-3 / > 4e-3 emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-2,pre-t0,45 samples; Slichter in Birch 1942
154,Sedimentary rocks,susceptibility distribution,73 / 19 / 4 / 4,per cent of samples with k < 1e-4 / 1e-4 to 1e-3 / 1e-3 to 4e-3 / > 4e-3 emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-2,pre-t0,48 samples; Slichter in Birch 1942
155,Basalt,"susceptibility, mean",2.95e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"37 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
156,Diabase,"susceptibility, mean",2.59e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"19 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
157,Rhyolite,"susceptibility, mean",1.12e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"5 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
158,Gabbro,"susceptibility, mean",0.99e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"37 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
159,Granite,"susceptibility, mean",0.47e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"31 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
160,Other acid intrusives,"susceptibility, mean",0.35e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"17 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
161,Ely greenstone,"susceptibility, mean",0.09e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"15 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
162,Slates,"susceptibility, mean",0.05e-3,"emu (k, cgs volume)","Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",366,Table 12-3,pre-t0,"26 samples; Mooney and Bleifuss 1953, Precambrian Minnesota"
163,rocks generally,susceptibility from magnetite content,"k = 2.89e-3 x V^1.01, V in volume per cent magnetite",emu,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",367,eq. 12-3 and Fig. 12-6,pre-t0,Mooney and Bleifuss; data span 0.1 to 30 vol per cent magnetite and k 1e2 to 1e5 x 1e-6 cgs
164,"igneous, metamorphic, sedimentary rocks and soils",resistivity histograms,see Fig. 13-4 (1e-1 to 1e9 ohm-m),ohm-m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",394,Fig. 13-4,pre-t0,"graphical, from Slichter and Telkes in Birch 1942; sedimentary rocks and unconsolidated materials distinctly more conductive than igneous"
165,sedimentary rocks in situ,resistivity from well logs,"1-1,000",ohm-m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",394,text (ch. 13),pre-t0,"quote: logging measurements in oil wells generally reveal resistivities in the range 1 to 1,000 ohm-m, decidedly lower than sample measurements"
166,clean sandstone,formation factor exponents,"a = 0.6-1.0, m = 2.0, n = 2.0",dimensionless,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",395,text (ch. 13),pre-t0,rho = I F rho_w with F = a P^-m and I = S^-n; m about 1.5 where clay is present
167,carbonate rocks,formation factor exponents,"a = 1.0, m = 1.8-2.6, n = 1.5-2.2",dimensionless,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",395,text (ch. 13),pre-t0,
168,shale,conductivity anisotropy,parallel to transverse ratio up to 4,dimensionless,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",395,text (ch. 13),pre-t0,quote: ratios of parallel to transverse conductivity as high as four are not uncommon
169,Pyrite (FeS2),conductivity,pure n.g.; natural ~100% mineralization 1e2; ~50% n.g.,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 1.2
170,"Pyrrhotite (FeS, Fe7S8)",conductivity,pure n.g.; natural ~100% mineralization 3e4; ~50% 6e3,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 0.3
171,Chalcopyrite (CuFeS2),conductivity,pure n.g.; natural ~100% mineralization 2e3; ~50% n.g.,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 0.4
172,Arsenopyrite (FeAsS),conductivity,pure n.g.; natural ~100% mineralization 3e3; ~50% n.g.,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 0.3
173,Galena (PbS),conductivity,pure 5e4; natural ~100% mineralization 10; ~50% 5,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean
174,Magnetite (Fe3O4),conductivity,pure 1e4; natural ~100% mineralization 3; ~50% n.g.,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 1
175,Graphite (C),conductivity,"pure 1e6 max, 1e2 min; natural ~100% mineralization 5e3; ~50% 100",mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean
176,Hematite (Fe2O3),conductivity,pure insulator; natural ~100% mineralization 0.1; ~50% n.g.,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",398,Table 13-1,pre-t0,geometric mean; s (log10 sd) 0.8
177,Hematite,conductivity of specular hematite with impurities,1-100,mhos/m,"Grant, F.S. and West, G.F. 1965, Interpretation Theory in Applied Geophysics, McGraw-Hill",399,text (ch. 13),pre-t0,"quote: hematite is not normally a conductor, but impurities can induce an appreciable conductivity at least in the specular form; bears on the Olympic Dam hematite ore"
178,Roopena Volcanics against Marinoan sediments,density contrast assumed in modelling,0.3,g/cm3,"Rutter, H. and Esdale, D.J. 1985, The geophysics of the Olympic Dam discovery, Exploration Geophysics 16, 273-276",273,text,after t0 (retrospective record of pre-RD1 work),"quote: a density contrast of 0.3 gms/cc was established with a greater degree of credibility; samples from Roopena Station and Depot Creek against Whyalla Sandstone, Tregolana Shale, Corraberra Sandstone, Arcoona Quartzite, Tent Hill Formation"
179,Roopena Volcanics against Marinoan sediments,susceptibility contrast,variable with degree of alteration; no number given,text,"Rutter, H. and Esdale, D.J. 1985, The geophysics of the Olympic Dam discovery, Exploration Geophysics 16, 273-276",273,text,after t0 (retrospective record of pre-RD1 work),the only era statement on the susceptibility contrast WMC used
180,Olympic Dam gravity source,depth from simple block models at 0.3 g/cm3,"1,150 (as shallow as 850 if the body shape is adjusted)",m,"Rutter, H. and Esdale, D.J. 1985, The geophysics of the Olympic Dam discovery, Exploration Geophysics 16, 273-276",274,text,after t0 (retrospective record of pre-RD1 work),"other anomalies: Andamooka Island 1,700 m, Lake Torrens 2,700 m, Bills Lookout 2,200 m, Appendicitis Dam 4,800 m; magnetic source about 2,000 m"
181,"Roopena Volcanic, weathered","specific gravity, surface samples",2.42,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,station 400B
182,Roopena Volcanic,"specific gravity, surface samples",2.61-3.35,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,"13 surface samples; group means 2.68, 2.82, 2.87"
183,Dolerite (queried),"specific gravity, surface samples",2.75-2.80,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,stations 3800S and 8000S
184,Moonabie Formation quartzite,"specific gravity, surface samples",2.62-2.66,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,"group means 2.645, 2.63, 2.64"
185,Pandurra Formation quartzite,"specific gravity, surface samples",2.44,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,station 4950N; the cover unit at Mount Gunson and Olympic Dam
186,Gabbro,"specific gravity, surface samples",3.07,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,station 2500S
187,Gawler Range granophyre and porphyry,"specific gravity, surface samples",2.57-2.62,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,table of specific gravities (PDF p. 14),pre-t0,mean 2.60
188,Roopena Volcanics against Pandurra quartzite,"density contrast, derived from the 1968 samples",about 0.35 (2.8 vs 2.44),g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",11,derived,pre-t0,computed here from the table; against Moonabie quartzite the contrast is about 0.18
189,"surface rocks, Roopena survey",Bouguer reduction density,2.67,g/cm3,"Risely, G.C. 1968, geophysical surveys, Roopena area (transcribed in replay_ready/prior/annexA_transcriptions/risely1968_text.txt)",,text,pre-t0,quote: a surface density of 2.67 grams/cc was used
190,Mount Gunson district rocks,Bouguer reduction density,2.59,g/cm3,"Milton, B.E., Hussin, J.J. and Taylor, B.J. 1966, Report of exploratory geophysical surveys at Mount Gunson - Pernatty Lagoon (S.M.L. 96), SADME Rept. Bk. 63/75",,text (gravity),pre-t0,elevation correction 0.06 mGal/foot; latitude correction 0.022 mGal/100 feet; no topographic correction
191,Mount Gunson Main Workings,residual gravity contrast over the ore,0.3,mGal,"Milton, B.E., Hussin, J.J. and Taylor, B.J. 1966, Report of exploratory geophysical surveys at Mount Gunson - Pernatty Lagoon (S.M.L. 96), SADME Rept. Bk. 63/75",,"text (results, gravity)",pre-t0,"quote: a total contrast of only 0.3 milligals, strongly influenced by overburden thickness and by deviations from the assumed density; the results would not be of value as an exploration method in this area"
192,sandstone,resistivity range quoted from the era literature,30 to about 500 (OCR uncertain),ohm-m,"Milton, B.E., Hussin, J.J. and Taylor, B.J. 1966, Report of exploratory geophysical surveys at Mount Gunson - Pernatty Lagoon (S.M.L. 96), SADME Rept. Bk. 63/75",,"text (methods, resistivity)",pre-t0,the OCR of this sentence is damaged; re-read the page image before using the numbers. Rock range quoted as 1e-6 ohm-m for graphite to more than 1e6 for dry igneous rocks
193,Mount Gunson ore (analog blanket),response to seven geophysical methods,no diagnostic relationship,text,"Milton, B.E., Hussin, J.J. and Taylor, B.J. 1966, Report of exploratory geophysical surveys at Mount Gunson - Pernatty Lagoon (S.M.L. 96), SADME Rept. Bk. 63/75",,conclusions,pre-t0,"quote: induced polarization, resistivity, gravity, magnetic, electromagnetic, self potential and radiometric methods showed no diagnostic relationships to the ore occurrence at either the Mount Gunson Main Open Cut or the Lagoon Workings; era support for the annex line that the ore blanket is close to invisible"
194,Mount Gunson IP survey,array and frequencies,50 ft dipole-dipole at 3 and 0.3 c/s,configuration,"Milton, B.E., Hussin, J.J. and Taylor, B.J. 1966, Report of exploratory geophysical surveys at Mount Gunson - Pernatty Lagoon (S.M.L. 96), SADME Rept. Bk. 63/75",,"text (results, IP)",pre-t0,"frequency domain, Geoscience instruments; most recorded copper minerals in the area are non-sulphides, so no direct relation with mineralisation would be expected"
195,RDD1 core at 19.80 m,bulk density,2.63,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 1.30 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
196,RDD1 core at 130.45 m,bulk density,2.58,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 0.76 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
197,RDD1 core at 290.73 m,bulk density,2.70,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 0.67 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
198,RDD1 core at 350 m,bulk density,3.05,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 1.00 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
199,RDD1 core at 410.3 m,bulk density,2.81,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 0.37 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
200,RDD1 core at 472.70 m,bulk density,2.60,g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,results,after t0 (3 October 1975),"two-hour cold water absorption 0.80 per cent; the 472.70 m sample must be RDD2, since RDD1 ended at 411.10 m [CHECK]"
201,RDD1 mineralised interval (350 m),density contrast against the cover samples,about 0.35-0.45 (3.05 vs 2.58-2.70),g/cm3,"AMDEL report MT 1068/76 for WMC, in EL 190 second quarterly (mesac24890 PDF pp. 88-89), Appendix F",89,derived,after t0 (3 October 1975),"computed here; the pre-drilling 0.3 contrast was assumed for basalt, not for the hematite-rich rock that was found"
202,"EL 190 ground gravity lines 100,000E, 82,000N, 100,000N",Bouguer reduction density used,2.20,g/cm3,"WMC plans 2307-09, 2307-10 and 2307-11, EL 190 third quarterly (mesac24890 PDF pp. 183-185)",,plan header,after t0 (December 1975),"header also gives E.C.F. 0.2081 mGal/m, which corresponds to about 2.40 g/cm3, so the plan is internally inconsistent [CHECK]; datum Olympic Dam 30 m; reading interval 90 m"
